account_key,account_number,customer_key,branch_key,product_key,account_open_date,account_status,currency,current_balance
1,AC10000001,1,1,1,2021-02-15,Active,INR,85200.5
2,AC10000002,2,2,1,2020-06-09,Active,INR,245500.0
3,AC10000003,3,3,2,2019-10-11,Active,INR,1560000.75
4,AC10000004,4,4,1,2022-01-28,Active,INR,32500.25
5,AC10000005,5,2,3,2021-09-13,Active,INR,500000.0
6,AC10000006,6,1,1,2018-04-22,Active,INR,980000.1
7,AC10000007,7,4,1,2024-03-16,Dormant,INR,4200.0
8,AC10000008,8,3,1,2020-12-04,Active,INR,172300.0
9,AC10000009,9,5,2,2017-08-01,Active,INR,2300000.5
10,AC10000010,10,5,1,2023-07-20,Active,INR,67500.8
11,AC10000011,3,3,4,2022-05-10,Active,INR,-125000.0
12,AC10000012,6,1,5,2021-11-18,Active,INR,-3250000.0
